"filename", "language", "TypeScript", "JSON", "YAML", "Handlebars", "Markdown", "SCSS", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Searchbar\Searchbar.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Searchbar\_searchbar.util.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Spinner\Spinner.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\SubscriptionCard\SubscriptionCard.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\SubscriptionCard\_subscriptionCard.util.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Tags\Tag.util.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\Tags\_tag.util.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\mgall\Documents\Projects\ivex\client\src\utils\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\mgall\Documents\Projects\ivex\readme.md", "Markdown", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\mgall\Documents\Projects\ivex\server\.prettierrc.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\mgall\Documents\Projects\ivex\server\package.json", "JSON", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"c:\Users\mgall\Documents\Projects\ivex\server\src\app.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 36
"c:\Users\mgall\Documents\Projects\ivex\server\src\controllers\Admin.controller.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 137
"c:\Users\mgall\Documents\Projects\ivex\server\src\controllers\Analytics.controller.ts", "TypeScript", 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 380
"c:\Users\mgall\Documents\Projects\ivex\server\src\controllers\Auth.controller.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103
